Starting packet inspection in foreground

--------------------------------------------------------------------------------

Source IP            Destination IP       Protocol   Source Port     Destination Port
--------------------------------------------------------------------------------
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.18.159        10.114.224.12        TCP        51522           22             
128.203.87.177       10.114.18.159        TCP        443             52876          
128.203.87.177       10.114.18.159        TCP        443             52876          
128.203.87.177       10.114.18.159        TCP        443             52876          
10.114.18.159        128.203.87.177       TCP        52876           443            
10.114.18.159        1.1.1.1              ICMP       N/A             N/A            
1.1.1.1              10.114.18.159        ICMP       N/A             N/A            
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.18.159        10.114.224.12        TCP        51522           22             
44.229.222.36        10.114.18.159        TCP        443             51213          
10.114.18.159        44.229.222.36        TCP        51213           443            
10.114.18.159        1.1.1.1              ICMP       N/A             N/A            
1.1.1.1              10.114.18.159        ICMP       N/A             N/A            
140.82.113.25        10.114.18.159        TCP        443             60526          
10.114.18.159        140.82.113.25        TCP        60526           443            
10.114.18.159        140.82.113.25        TCP        60526           443            
140.82.113.25        10.114.18.159        TCP        443             60526          
10.114.18.159        3.140.85.105         TCP        61407           443            
10.114.18.159        10.126.136.6         UDP        55089           53             
10.126.136.6         10.114.18.159        UDP        53              55089          
10.114.18.159        3.140.85.105         TCP        61454           443            
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.18.159        10.114.224.12        TCP        51522           22             
3.140.85.105         10.114.18.159        TCP        443             61407          
3.140.85.105         10.114.18.159        TCP        443             61407          
10.114.18.159        3.140.85.105         TCP        61407           443            
3.140.85.105         10.114.18.159        TCP        443             61454          
10.114.18.159        3.140.85.105         TCP        61454           443            
10.114.18.159        3.140.85.105         TCP        61454           443            
3.140.85.105         10.114.18.159        TCP        443             61454          
3.140.85.105         10.114.18.159        TCP        443             61454          
10.114.18.159        3.140.85.105         TCP        61454           443            
3.140.85.105         10.114.18.159        TCP        443             61454          
3.140.85.105         10.114.18.159        TCP        443             61454          
10.114.18.159        3.140.85.105         TCP        61454           443            
3.140.85.105         10.114.18.159        TCP        443             61454          
10.114.18.159        3.140.85.105         TCP        61454           443            
10.114.18.159        3.140.85.105         TCP        61454           443            
10.114.18.159        3.140.85.105         TCP        61454           443            
3.140.85.105         10.114.18.159        TCP        443             61454          
3.140.85.105         10.114.18.159        TCP        443             61454          
10.114.18.159        3.140.85.105         TCP        61454           443            
10.114.18.159        3.140.85.105         TCP        61454           443            
3.140.85.105         10.114.18.159        TCP        443             61454          
10.114.18.159        3.140.85.105         TCP        61454           443            
10.114.18.159        1.1.1.1              ICMP       N/A             N/A            
1.1.1.1              10.114.18.159        ICMP       N/A             N/A            
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.18.159        10.114.224.12        TCP        51522           22             
35.186.224.46        10.114.18.159        TCP        443             53282          
35.186.224.46        10.114.18.159        TCP        443             53282          
35.186.224.46        10.114.18.159        TCP        443             53282          
10.114.18.159        35.186.224.46        TCP        53282           443            
10.114.18.159        35.186.224.46        TCP        53282           443            
35.186.224.45        10.114.18.159        TCP        443             56836          
35.186.224.45        10.114.18.159        TCP        443             56836          
10.114.18.159        35.186.224.45        TCP        56836           443            
10.114.18.159        35.186.224.45        TCP        56836           443            
35.186.224.45        10.114.18.159        TCP        443             56836          
10.114.18.159        35.186.224.45        TCP        56836           443            
10.114.18.159        10.126.136.6         UDP        59018           53             
10.126.136.6         10.114.18.159        UDP        53              59018          
10.114.18.159        140.82.116.4         TCP        61455           443            
140.82.116.4         10.114.18.159        TCP        443             61455          
10.114.18.159        140.82.116.4         TCP        61455           443            
10.114.18.159        140.82.116.4         TCP        61455           443            
140.82.116.4         10.114.18.159        TCP        443             61455          
140.82.116.4         10.114.18.159        TCP        443             61455          
10.114.18.159        140.82.116.4         TCP        61455           443            
140.82.116.4         10.114.18.159        TCP        443             61455          
10.114.18.159        140.82.116.4         TCP        61455           443            
10.114.18.159        140.82.116.4         TCP        61455           443            
10.114.18.159        140.82.116.4         TCP        61455           443            
10.114.18.159        140.82.116.4         TCP        61455           443            
10.114.18.159        140.82.116.4         TCP        61455           443            
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.18.159        10.114.224.12        TCP        51522           22             
140.82.116.4         10.114.18.159        TCP        443             61455          
140.82.116.4         10.114.18.159        TCP        443             61455          
140.82.116.4         10.114.18.159        TCP        443             61455          
10.114.18.159        140.82.116.4         TCP        61455           443            
140.82.116.4         10.114.18.159        TCP        443             61455          
10.114.18.159        140.82.116.4         TCP        61455           443            
10.114.18.159        140.82.116.4         TCP        61455           443            
140.82.116.4         10.114.18.159        TCP        443             61455          
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.18.159        10.114.224.12        TCP        51522           22             
10.114.18.159        10.126.136.6         UDP        36780           53             
10.114.18.159        10.126.136.6         UDP        50109           53             
10.126.136.6         10.114.18.159        UDP        53              36780          
10.126.136.6         10.114.18.159        UDP        53              50109          
10.114.18.159        35.186.224.31        UDP        59985           443            
10.114.18.159        35.186.224.31        UDP        59985           443            
140.82.116.4         10.114.18.159        TCP        443             61455          
10.114.18.159        35.186.224.31        TCP        61456           443            
35.186.224.31        10.114.18.159        UDP        443             59985          
35.186.224.31        10.114.18.159        UDP        443             59985          
35.186.224.31        10.114.18.159        UDP        443             59985          
35.186.224.31        10.114.18.159        UDP        443             59985          
