Starting packet inspection in foreground


----------------------------------------------------------------------------------------------------

Source IP            Destination IP       Protocol   Source Port     Destination Port
--------------------------------------------------------------------------------
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.18.159        10.114.224.12        TCP        51522           22             
162.159.130.234      10.114.18.159        TCP        443             56827          
162.159.130.234      10.114.18.159        TCP        443             56827          
10.114.18.159        162.159.130.234      TCP        56827           443            
162.159.130.234      10.114.18.159        TCP        443             56827          
10.114.18.159        162.159.130.234      TCP        56827           443            
54.244.51.68         10.114.18.159        UDP        17772           54074          
10.114.18.159        1.1.1.1              ICMP       N/A             N/A            
1.1.1.1              10.114.18.159        ICMP       N/A             N/A            
162.159.130.234      10.114.18.159        TCP        443             56827          
10.114.18.159        162.159.130.234      TCP        56827           443            
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.18.159        10.114.224.12        TCP        51522           22             
10.114.18.159        142.250.191.35       UDP        63623           443            
10.114.18.159        10.126.136.6         UDP        61970           53             
10.126.136.6         10.114.18.159        UDP        53              61970          
142.250.191.35       10.114.18.159        UDP        443             63623          
10.114.18.159        142.250.191.35       UDP        63623           443            
142.250.191.35       10.114.18.159        UDP        443             63623          
10.114.18.159        1.1.1.1              ICMP       N/A             N/A            
1.1.1.1              10.114.18.159        ICMP       N/A             N/A            
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.18.159        10.114.224.12        TCP        51522           22             
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.18.159        10.114.224.12        TCP        51522           22             
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.18.159        10.114.224.12        TCP        51522           22             
10.114.18.159        44.229.222.36        TCP        51213           443            
44.229.222.36        10.114.18.159        TCP        443             51213          
162.159.130.234      10.114.18.159        TCP        443             56827          
10.114.18.159        162.159.130.234      TCP        56827           443            
10.114.18.159        3.128.215.139        TCP        61603           443            
10.114.18.159        10.126.136.6         UDP        59243           53             
10.126.136.6         10.114.18.159        UDP        53              59243          
10.114.18.159        3.140.204.15         TCP        61645           443            
10.114.18.159        1.1.1.1              ICMP       N/A             N/A            
1.1.1.1              10.114.18.159        ICMP       N/A             N/A            
3.128.215.139        10.114.18.159        TCP        443             61603          
3.128.215.139        10.114.18.159        TCP        443             61603          
10.114.18.159        3.128.215.139        TCP        61603           443            
3.140.204.15         10.114.18.159        TCP        443             61645          
10.114.18.159        3.140.204.15         TCP        61645           443            
10.114.18.159        3.140.204.15         TCP        61645           443            
3.140.204.15         10.114.18.159        TCP        443             61645          
3.140.204.15         10.114.18.159        TCP        443             61645          
10.114.18.159        3.140.204.15         TCP        61645           443            
3.140.204.15         10.114.18.159        TCP        443             61645          
3.140.204.15         10.114.18.159        TCP        443             61645          
3.140.204.15         10.114.18.159        TCP        443             61645          
10.114.18.159        3.140.204.15         TCP        61645           443            
10.114.18.159        3.140.204.15         TCP        61645           443            
10.114.18.159        3.140.204.15         TCP        61645           443            
3.140.204.15         10.114.18.159        TCP        443             61645          
3.140.204.15         10.114.18.159        TCP        443             61645          
10.114.18.159        3.140.204.15         TCP        61645           443            
10.114.18.159        3.140.204.15         TCP        61645           443            
3.140.204.15         10.114.18.159        TCP        443             61645          
10.114.18.159        3.140.204.15         TCP        61645           443            
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.18.159        10.114.224.12        TCP        51522           22             
10.114.18.159        1.1.1.1              ICMP       N/A             N/A            
10.114.18.159        10.114.224.12        TCP        51522           22             
10.114.18.159        10.114.224.12        TCP        51522           22             
1.1.1.1              10.114.18.159        ICMP       N/A             N/A            
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.18.159        10.126.136.6         UDP        61286           53             
10.114.18.159        10.126.136.6         UDP        42517           53             
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.18.159        10.114.224.12        TCP        51522           22             
10.114.18.159        10.126.136.6         UDP        11993           53             
10.114.18.159        10.126.136.6         UDP        62387           53             
10.126.136.6         10.114.18.159        UDP        53              61286          
10.126.136.6         10.114.18.159        UDP        53              42517          
10.114.18.159        128.203.87.177       TCP        61646           443            
10.126.136.6         10.114.18.159        UDP        53              62387          
10.126.136.6         10.114.18.159        UDP        53              11993          
10.114.18.159        10.126.136.6         UDP        1388            53             
10.114.18.159        10.126.136.6         UDP        6970            53             
10.126.136.6         10.114.18.159        UDP        53              1388           
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.18.159        10.114.224.12        TCP        51522           22             
10.114.18.159        10.114.224.12        TCP        51522           22             
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.18.159        10.114.224.12        TCP        51522           22             
10.114.18.159        10.126.136.6         UDP        63365           53             
10.126.136.6         10.114.18.159        UDP        53              6970           
10.114.18.159        10.126.136.6         UDP        21233           53             
10.126.136.6         10.114.18.159        UDP        53              63365          
10.126.136.6         10.114.18.159        UDP        53              21233          
10.114.18.159        10.126.136.6         UDP        57280           53             
10.114.18.159        10.126.136.6         UDP        6368            53             
10.126.136.6         10.114.18.159        UDP        53              57280          
10.126.136.6         10.114.18.159        UDP        53              6368           
10.114.18.159        10.126.136.6         UDP        55654           53             
10.114.18.159        10.126.136.6         UDP        44418           53             
10.126.136.6         10.114.18.159        UDP        53              55654          
10.126.136.6         10.114.18.159        UDP        53              44418          
162.159.130.234      10.114.18.159        TCP        443             56827          
