Starting packet inspection in foreground


--------------------------------------------------------------------------------

Source IP            Destination IP       Protocol   Source Port     Destination Port
--------------------------------------------------------------------------------
35.71.132.58         10.114.18.159        TCP        443             61676          
10.12.59.113         10.114.18.159        TCP        443             61670          
10.114.18.159        35.71.132.58         TCP        61676           443            
10.12.59.113         10.114.18.159        TCP        443             61670          
10.12.59.113         10.114.18.159        TCP        443             61670          
13.107.136.10        10.114.18.159        TCP        443             61680          
13.107.136.10        10.114.18.159        TCP        443             61680          
173.222.162.157      10.114.18.159        TCP        443             61681          
52.89.90.67          10.114.18.159        TCP        443             61678          
10.114.18.159        10.12.59.113         TCP        61670           443            
10.114.18.159        173.222.162.157      TCP        61681           443            
10.114.18.159        52.89.90.67          TCP        61678           443            
10.114.18.159        52.89.90.67          TCP        61678           443            
44.229.222.36        10.114.18.159        TCP        443             51213          
10.114.18.159        44.229.222.36        TCP        51213           443            
52.89.90.67          10.114.18.159        TCP        443             61678          
10.114.18.159        52.89.90.67          TCP        61678           443            
10.114.18.159        1.1.1.1              ICMP       N/A             N/A            
1.1.1.1              10.114.18.159        ICMP       N/A             N/A            
10.114.18.159        142.251.46.238       UDP        60584           443            
10.114.18.159        142.251.46.238       UDP        60584           443            
10.114.18.159        142.251.46.238       UDP        60584           443            
10.114.18.159        142.250.188.3        UDP        50592           443            
10.114.18.159        142.250.188.3        UDP        50592           443            
142.251.46.238       10.114.18.159        UDP        443             60584          
10.114.18.159        142.251.46.238       UDP        60584           443            
142.250.188.3        10.114.18.159        UDP        443             50592          
142.250.188.3        10.114.18.159        UDP        443             50592          
142.250.188.3        10.114.18.159        UDP        443             50592          
142.250.188.3        10.114.18.159        UDP        443             50592          
142.250.188.3        10.114.18.159        UDP        443             50592          
10.114.18.159        142.250.188.3        UDP        50592           443            
142.251.46.238       10.114.18.159        UDP        443             60584          
10.114.18.159        142.251.46.238       UDP        60584           443            
142.250.188.3        10.114.18.159        UDP        443             50592          
142.250.188.3        10.114.18.159        UDP        443             50592          
10.114.18.159        142.250.188.3        UDP        50592           443            
44.229.222.36        10.114.18.159        TCP        443             51213          
10.114.18.159        44.229.222.36        TCP        51213           443            
142.251.46.238       10.114.18.159        UDP        443             60584          
142.250.188.3        10.114.18.159        UDP        443             50592          
10.114.18.159        18.213.32.120        TCP        61667           443            
18.213.32.120        10.114.18.159        TCP        443             61667          
18.213.32.120        10.114.18.159        TCP        443             61667          
10.114.18.159        18.213.32.120        TCP        61667           443            
10.114.18.159        172.217.164.110      UDP        64859           443            
10.114.18.159        172.217.164.110      UDP        64859           443            
172.217.164.110      10.114.18.159        UDP        443             64859          
172.217.164.110      10.114.18.159        UDP        443             64859          
172.217.164.110      10.114.18.159        UDP        443             64859          
172.217.164.110      10.114.18.159        UDP        443             64859          
172.217.164.110      10.114.18.159        UDP        443             64859          
10.114.18.159        172.217.164.110      UDP        64859           443            
10.114.18.159        172.217.164.110      UDP        64859           443            
10.114.18.159        172.217.164.110      UDP        64859           443            
10.114.18.159        142.251.46.238       UDP        60584           443            
10.114.18.159        142.251.46.238       UDP        60584           443            
10.114.18.159        142.251.46.238       UDP        60584           443            
10.114.18.159        142.251.46.238       UDP        60584           443            
10.114.18.159        142.251.46.238       UDP        60584           443            
10.114.18.159        142.251.46.238       UDP        60584           443            
172.217.164.110      10.114.18.159        UDP        443             64859          
172.217.164.110      10.114.18.159        UDP        443             64859          
142.251.46.238       10.114.18.159        UDP        443             60584          
142.251.46.238       10.114.18.159        UDP        443             60584          
10.114.18.159        142.251.46.238       UDP        60584           443            
142.251.46.238       10.114.18.159        UDP        443             60584          
10.114.18.159        172.217.164.110      UDP        64859           443            
172.217.164.110      10.114.18.159        UDP        443             64859          
142.251.46.238       10.114.18.159        UDP        443             60584          
142.251.46.238       10.114.18.159        UDP        443             60584          
10.114.18.159        142.251.46.238       UDP        60584           443            
10.114.18.159        172.217.164.110      UDP        64859           443            
142.251.46.238       10.114.18.159        UDP        443             60584          
10.114.18.159        142.251.46.238       UDP        60584           443            
10.114.18.159        239.255.255.250      UDP        52204           1900           
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.18.159        10.114.224.12        TCP        51522           22             
10.114.18.159        1.1.1.1              ICMP       N/A             N/A            
1.1.1.1              10.114.18.159        ICMP       N/A             N/A            
172.217.164.110      10.114.18.159        UDP        443             64859          
172.217.164.110      10.114.18.159        UDP        443             64859          
172.217.164.110      10.114.18.159        UDP        443             64859          
172.217.164.110      10.114.18.159        UDP        443             64859          
172.217.164.110      10.114.18.159        UDP        443             64859          
172.217.164.110      10.114.18.159        UDP        443             64859          
10.114.18.159        172.217.164.110      UDP        64859           443            
172.217.164.110      10.114.18.159        UDP        443             64859          
10.114.18.159        44.229.222.36        TCP        51213           443            
44.229.222.36        10.114.18.159        TCP        443             51213          
44.229.222.36        10.114.18.159        TCP        443             51213          
10.114.18.159        44.229.222.36        TCP        51213           443            
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.18.159        10.114.224.12        TCP        51522           22             
10.114.18.159        1.1.1.1              ICMP       N/A             N/A            
1.1.1.1              10.114.18.159        ICMP       N/A             N/A            
10.114.18.159        142.250.188.3        UDP        50592           443            
142.250.188.3        10.114.18.159        UDP        443             50592          
10.114.18.159        142.250.188.3        UDP        50592           443            
142.250.188.3        10.114.18.159        UDP        443             50592          
