Starting packet inspection in foreground
Source IP            Destination IP       Protocol   Source Port     Destination Port
--------------------------------------------------------------------------------
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.18.159        10.114.224.12        TCP        51522           22             
10.114.18.159        142.250.189.238      ICMP       N/A             N/A            
142.251.65.137       10.114.18.159        ICMP       N/A             N/A            
10.114.18.159        142.250.189.238      ICMP       N/A             N/A            
142.250.189.238      10.114.18.159        ICMP       N/A             N/A            
10.114.18.159        142.250.189.238      ICMP       N/A             N/A            
142.250.189.238      10.114.18.159        ICMP       N/A             N/A            
10.114.18.159        1.1.1.1              ICMP       N/A             N/A            
1.1.1.1              10.114.18.159        ICMP       N/A             N/A            
10.114.18.159        142.250.189.238      ICMP       N/A             N/A            
10.114.5.2           10.114.18.159        ICMP       N/A             N/A            
10.114.18.159        142.250.189.238      ICMP       N/A             N/A            
10.114.2.7           10.114.18.159        ICMP       N/A             N/A            
10.114.18.159        142.250.189.238      ICMP       N/A             N/A            
10.114.2.10          10.114.18.159        ICMP       N/A             N/A            
10.114.18.159        142.250.189.238      ICMP       N/A             N/A            
10.118.3.100         10.114.18.159        ICMP       N/A             N/A            
10.114.18.159        142.250.189.238      ICMP       N/A             N/A            
10.118.3.101         10.114.18.159        ICMP       N/A             N/A            
10.114.18.159        142.250.189.238      ICMP       N/A             N/A            
216.228.125.4        10.114.18.159        ICMP       N/A             N/A            
10.114.18.159        142.250.189.238      ICMP       N/A             N/A            
12.127.77.29         10.114.18.159        ICMP       N/A             N/A            
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.18.159        10.114.224.12        TCP        51522           22             
10.114.18.159        142.250.189.238      ICMP       N/A             N/A            
32.130.104.254       10.114.18.159        ICMP       N/A             N/A            
10.114.18.159        1.1.1.1              ICMP       N/A             N/A            
1.1.1.1              10.114.18.159        ICMP       N/A             N/A            
10.114.18.159        142.250.189.238      ICMP       N/A             N/A            
32.130.20.154        10.114.18.159        ICMP       N/A             N/A            
10.114.18.159        142.250.189.238      ICMP       N/A             N/A            
32.130.104.53        10.114.18.159        ICMP       N/A             N/A            
10.114.18.159        142.250.189.238      ICMP       N/A             N/A            
74.125.253.15        10.114.18.159        ICMP       N/A             N/A            
10.114.18.159        142.250.189.238      ICMP       N/A             N/A            
64.233.175.70        10.114.18.159        ICMP       N/A             N/A            
10.114.18.159        142.250.189.238      ICMP       N/A             N/A            
108.170.230.125      10.114.18.159        ICMP       N/A             N/A            
10.114.18.159        44.229.222.36        TCP        51213           443            
44.229.222.36        10.114.18.159        TCP        443             51213          
10.114.18.159        44.229.222.36        TCP        51213           443            
10.114.18.159        142.250.189.238      ICMP       N/A             N/A            
142.251.68.55        10.114.18.159        ICMP       N/A             N/A            
162.159.130.234      10.114.18.159        TCP        443             56827          
10.114.18.159        162.159.130.234      TCP        56827           443            
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.18.159        10.114.224.12        TCP        51522           22             
10.114.18.159        142.250.189.238      ICMP       N/A             N/A            
142.250.234.54       10.114.18.159        ICMP       N/A             N/A            
10.114.18.159        142.250.189.238      ICMP       N/A             N/A            
172.253.64.169       10.114.18.159        ICMP       N/A             N/A            
10.114.18.159        142.250.189.238      ICMP       N/A             N/A            
142.251.65.137       10.114.18.159        ICMP       N/A             N/A            
10.114.18.159        142.250.189.238      ICMP       N/A             N/A            
10.114.18.159        1.1.1.1              ICMP       N/A             N/A            
1.1.1.1              10.114.18.159        ICMP       N/A             N/A            
142.250.189.238      10.114.18.159        ICMP       N/A             N/A            
10.114.18.159        142.250.189.238      ICMP       N/A             N/A            
142.250.189.238      10.114.18.159        ICMP       N/A             N/A            
10.114.18.159        142.250.189.238      ICMP       N/A             N/A            
10.114.5.2           10.114.18.159        ICMP       N/A             N/A            
N/A                  N/A                  N/A        N/A             N/A            
N/A                  N/A                  N/A        N/A             N/A            
10.114.18.159        142.250.189.238      ICMP       N/A             N/A            
